,EXP,REXP,SEXP
607,363,268.14799999999997,342
608,16,15.0911,11
609,28,26.8062,11
610,337,254.607,92
611,338,255.58,321
612,342,259.58,94
613,26,22.7606,26
614,18,17.0092,10
615,269,209.625,262
616,27,23.7191,27
617,272,212.623,265
618,343,259.97900000000004,137
619,275,215.142,5
620,29,27.5857,29
621,184,130.33,0
622,344,258.191,327
623,28,24.4079,28
624,20,18.6205,17
625,23,21.613000000000003,20
626,348,260.582,320
627,184,128.759,57
628,276,212.665,198
629,278,214.665,6
630,29,25.1738,29
631,186,130.53799999999998,93
632,30,25.9815,30
633,31,26.9358,31
634,2,1.9960900000000001,1
635,32,27.8648,32
636,26,24.2446,23
637,29,27.2416,26
638,32,30.2348,29
639,33,28.8525,33
640,279,212.69299999999998,270
641,282,215.69099999999997,273
642,34,29.7829,34
643,285,218.56400000000002,276
644,288,221.43,279
645,351,258.663,226
646,291,223.075,282
647,294,226.07299999999998,182
648,32,29.2156,32
649,35,32.21,14
650,353,258.972,329
651,188,129.483,57
652,189,130.481,26
653,357,262.423,332
654,190,131.403,60
655,296,226.234,211
656,35,32.5495,22
657,298,228.051,289
658,3,2.9184099999999997,3
659,35,30.2013,35
660,37,34.4541,34
661,301,230.671,215
662,5,4.8908,2
663,36,31.018,36
664,37,32.0133,37
665,38,33.013000000000005,38
666,361,263.764,331
667,303,231.291,217
668,364,266.63,90
669,366,254.361,275
670,39,33.8847,39
671,368,256.289,153
672,369,257.289,0
673,369,257.286,154
674,8,7.8084,3
675,365,265.971,335
676,368,268.964,338
677,371,271.431,253
678,374,274.43,93
679,375,275.418,350
680,40,34.5014,40
681,41,35.5012,41
682,370,255.25400000000002,279
683,192,130.09799999999998,87
684,195,133.066,28
685,196,134.054,62
686,42,36.2026,42
687,37,32.8659,36
688,305,228.335,296
689,308,231.334,221
690,310,233.333,301
691,313,236.333,225
692,315,238.331,227
693,43,37.094,43
694,44,38.0939,44
695,379,275.79,199
696,381,277.789,201
697,383,279.76599999999996,203
698,2,1.99996,2
699,9,8.515130000000001,6
700,40,35.3325,39
701,45,38.541,45
702,46,39.4907,46
703,47,40.4893,47
704,385,278.02299999999997,246
705,387,280.022,248
706,48,41.4805,48
707,372,252.455,281
708,389,281.91,357
709,49,42.4623,49
710,50,43.4623,50
711,40,35.6287,37
712,51,44.386,51
713,52,45.386,52
714,392,284.465,360
715,317,234.90900000000002,229
716,319,236.908,118
717,320,237.90599999999998,311
718,323,240.905,234
719,325,242.90400000000002,121
720,326,243.865,7
721,327,244.864,8
722,198,132.691,116
723,200,134.691,118
724,202,136.69,120
725,204,138.689,122
726,206,140.68,124
727,395,285.04900000000004,363
728,398,288.04200000000003,366
729,4,3.92745,2
730,6,5.92727,4
731,374,252.028,283
732,328,244.799,122
733,208,142.114,126
734,43,37.6903,32
735,401,289.88,104
736,402,290.879,259
737,404,292.871,261
738,329,245.32,123
739,330,245.88299999999998,319
740,333,248.88099999999997,322
741,43,37.9018,28
742,45,39.9014,30
743,53,45.5967,53
744,45,39.5071,44
745,336,251.71900000000002,126
746,337,252.718,127
747,54,46.1702,54
748,406,291.871,263
749,47,41.3945,13
750,376,249.782,285
751,378,251.77900000000002,287
752,55,46.9173,55
753,338,250.584,245
754,340,252.58,247
755,211,142.569,30
756,48,41.3883,47
757,8,7.63329,2
758,408,287.965,376
759,10,9.56129,3
760,411,289.20799999999997,379
761,12,10.7718,9
762,15,13.7714,12
763,342,248.89700000000002,249
764,344,250.894,251
765,346,252.842,9
766,347,253.73,131
767,349,255.729,0
768,414,291.563,382
769,212,140.628,128
770,349,254.895,122
771,350,255.894,123
772,417,293.83799999999997,385
773,380,247.217,3
774,11,10.3928,4
775,351,254.00099999999998,256
776,8,4.37943,4
777,3,2.28841,0
778,4,3.28835,1
779,5,4.28754,3
780,8,7.2875,6
781,353,255.24400000000003,0
782,13,12.2039,6
783,15,14.2036,8
784,48,40.243,45
785,51,43.2281,28
786,353,254.554,341
787,357,258.545,345
788,361,262.54400000000004,3
789,362,263.54400000000004,4
790,53,45.1351,34
791,363,264.154,346
792,366,267.153,349
793,369,268.88599999999997,137
794,370,269.879,224
795,372,271.51599999999996,355
796,375,274.51599999999996,358
797,378,277.514,361
798,56,45.2369,56
799,57,46.2368,57
800,18,16.0743,15
801,11,10.0686,6
802,58,46.8336,58
